S-FPL51,1.17E+00,4.76E-02,7.64E-01,6.16E-03,2.63E-02,1.42E+02
S-FPL53,9.84E-01,6.96E-02,1.11E+00,4.92E-03,1.94E-02,2.64E+02
S-FPL55,8.39E-01,2.14E-01,1.48E+00,7.95E-03,-2.33E-03,3.40E+02
S-FPM2,7.61E-01,7.47E-01,9.39E-01,3.21E-03,1.40E-02,1.40E+02
S-FPM3,8.09E-01,5.27E-01,9.09E-01,3.76E-03,1.36E-02,1.43E+02
S-FSL 5,1.17E+00,1.40E-02,1.19E+00,8.42E-03,-5.82E-02,1.30E+02
S-BSL 7,1.15E+00,1.19E-01,1.26E+00,1.06E-02,-1.18E-02,1.30E+02
S-BSM 2,8.67E-01,6.73E-01,1.18E+00,3.69E-03,1.82E-02,1.32E+02
S-BSM10,9.45E-01,6.43E-01,1.18E+00,1.57E-02,1.62E-03,1.21E+02
S-BSM14,1.28E+00,2.48E-01,1.10E+00,1.23E-02,-6.13E-03,1.07E+02
S-BSM15,9.53E-01,6.38E-01,1.65E+00,3.88E-03,1.85E-02,1.59E+02
S-BSM16,1.14E+00,4.40E-01,1.28E+00,1.37E-02,-1.87E-03,1.20E+02
S-BSM18,9.28E-01,7.09E-01,1.19E+00,4.18E-03,1.85E-02,1.22E+02
S-BSM25,1.35E+00,3.48E-01,1.39E+00,6.95E-03,2.78E-02,1.42E+02
S-BSM28,1.44E+00,1.28E-01,1.34E+00,8.60E-03,4.09E-02,1.44E+02
S-BSM71,1.51E+00,1.58E-01,1.37E+00,8.13E-03,3.54E-02,1.36E+02
S-BSM81,9.96E-01,6.51E-01,1.22E+00,1.45E-02,1.55E-03,9.00E+01
S-NSL 3,8.83E-01,3.89E-01,1.11E+00,4.65E-03,2.01E-02,1.36E+02
S-NSL36,1.10E+00,1.69E-01,1.21E+00,6.67E-03,3.36E-02,1.42E+02
S-BAL 2,1.31E+00,1.14E-01,1.18E+00,8.39E-03,3.99E-02,1.40E+02
S-BAL 3,1.29E+00,1.32E-01,1.10E+00,8.00E-03,3.55E-02,1.35E+02
S-BAL12,7.15E-01,6.22E-01,1.23E+00,3.02E-03,1.67E-02,1.44E+02
S-BAL14,1.28E+00,1.46E-01,1.17E+00,7.50E-03,3.10E-02,1.29E+02
S-BAL35,9.41E-01,5.46E-01,1.16E+00,1.40E-02,9.07E-04,1.14E+02
S-BAL41,1.24E+00,1.66E-01,1.11E+00,1.16E-02,-8.90E-03,1.14E+02
S-BAL42,1.40E+00,7.19E-02,1.27E+00,1.12E-02,-2.52E-02,1.34E+02
S-BAM 4,1.41E+00,1.11E-01,1.34E+00,9.63E-03,4.99E-02,1.52E+02
S-BAM12,1.50E+00,1.27E-01,1.44E+00,9.41E-03,4.73E-02,1.42E+02
S-BAH10,1.59E+00,1.38E-01,1.22E+00,9.33E-03,4.27E-02,1.19E+02
S-BAH11,1.57E+00,1.48E-01,1.28E+00,9.11E-03,4.02E-02,1.30E+02
S-BAH27,1.69E+00,1.33E-01,1.41E+00,1.04E-02,5.34E-02,1.27E+02
S-BAH28,1.69E+00,1.93E-01,1.56E+00,1.03E-02,5.21E-02,1.38E+02
S-PHM52,1.10E+00,4.78E-01,1.13E+00,1.33E-02,-6.02E-04,1.31E+02
S-PHM53,1.10E+00,4.35E-01,1.14E+00,1.23E-02,-3.73E-04,1.24E+02
S-TIL 1,1.25E+00,9.98E-02,1.21E+00,8.84E-03,4.83E-02,1.37E+02
S-TIL 2,1.23E+00,9.60E-02,1.21E+00,8.70E-03,4.66E-02,1.38E+02
S-TIL 6,1.18E+00,1.28E-01,1.35E+00,7.71E-03,4.11E-02,1.55E+02
S-TIL25,1.32E+00,1.24E-01,1.44E+00,9.52E-03,5.16E-02,1.49E+02
S-TIL26,1.31E+00,9.42E-02,1.23E+00,9.69E-03,5.28E-02,1.33E+02
S-TIL27,1.31E+00,1.12E-01,1.41E+00,9.50E-03,5.24E-02,1.48E+02
S-TIM 1,1.45E+00,1.23E-01,1.38E+00,1.12E-02,5.96E-02,1.38E+02
S-TIM 2,1.42E+00,1.34E-01,1.45E+00,1.07E-02,5.73E-02,1.45E+02
S-TIM 5,1.39E+00,1.22E-01,1.41E+00,1.04E-02,5.57E-02,1.45E+02
S-TIM 8,1.37E+00,1.13E-01,1.40E+00,1.03E-02,5.50E-02,1.48E+02
S-TIM22,1.44E+00,1.94E-01,1.74E+00,1.04E-02,5.50E-02,1.70E+02
S-TIM25,1.51E+00,2.05E-01,1.92E+00,1.10E-02,5.75E-02,1.78E+02
S-TIM27,1.42E+00,1.97E-01,1.68E+00,1.01E-02,5.38E-02,1.65E+02
S-TIM28,1.54E+00,2.17E-01,1.82E+00,1.14E-02,5.79E-02,1.68E+02
S-TIM35,1.56E+00,2.31E-01,1.84E+00,1.15E-02,5.86E-02,1.63E+02
S-TIH 1,1.60E+00,2.43E-01,1.81E+00,1.18E-02,5.91E-02,1.61E+02
S-TIH 3,1.65E+00,2.67E-01,2.20E+00,1.22E-02,5.98E-02,1.92E+02
S-TIH 4,1.67E+00,2.94E-01,2.49E+00,1.22E-02,5.98E-02,2.15E+02
S-TIH 6,1.77E+00,3.46E-01,2.41E+00,1.31E-02,6.14E-02,2.01E+02
S-TIH10,1.62E+00,2.62E-01,2.09E+00,1.20E-02,5.97E-02,1.82E+02
S-TIH11,1.73E+00,3.25E-01,2.66E+00,1.29E-02,6.18E-02,2.22E+02
S-TIH13,1.62E+00,2.94E-01,1.99E+00,1.18E-02,5.90E-02,1.72E+02
S-TIH14,1.69E+00,2.90E-01,2.38E+00,1.28E-02,6.18E-02,2.01E+02
S-TIH18,1.60E+00,2.60E-01,2.12E+00,1.16E-02,5.85E-02,1.87E+02
S-TIH23,1.74E+00,3.14E-01,2.31E+00,1.29E-02,6.12E-02,1.97E+02
S-TIH53,1.88E+00,3.70E-01,2.34E+00,1.44E-02,6.39E-02,1.83E+02
S-TIH53W,1.88E+00,3.70E-01,2.34E+00,1.44E-02,6.39E-02,1.83E+02
S-TIH57,2.21E+00,4.50E-01,2.48E+00,1.42E-02,6.39E-02,1.62E+02
S-LAL 7,9.16E-01,7.66E-01,1.28E+00,3.96E-03,1.68E-02,1.11E+02
S-LAL 8,1.31E+00,5.71E-01,1.24E+00,6.12E-03,2.13E-02,9.06E+01
S-LAL 9,1.16E+00,6.45E-01,1.25E+00,1.60E-02,5.06E-04,9.38E+01
S-LAL10,1.53E+00,3.68E-01,1.12E+00,7.77E-03,2.72E-02,8.89E+01
S-LAL12,9.92E-01,7.71E-01,1.18E+00,1.67E-02,2.37E-03,1.06E+02
S-LAL13,9.80E-01,8.33E-01,1.28E+00,3.89E-03,1.89E-02,9.89E+01
S-LAL14,1.24E+00,5.90E-01,1.32E+00,1.54E-02,-3.08E-04,9.37E+01
S-LAL18,1.50E+00,4.30E-01,1.35E+00,1.45E-02,-3.33E-03,9.34E+01
S-LAL19,9.74E-01,9.58E-01,1.20E+00,3.79E-03,1.78E-02,8.38E+01
S-LAL20,1.07E+00,7.59E-01,1.03E+00,5.19E-03,2.04E-02,1.21E+02
S-LAL21,9.35E-01,9.06E-01,1.43E+00,1.81E-02,4.08E-03,1.39E+02
S-LAL54,1.42E+00,2.58E-01,1.07E+00,7.27E-03,2.64E-02,1.03E+02
S-LAL54Q,9.20E-01,7.59E-01,1.07E+00,1.61E-02,2.92E-03,8.51E+01
S-LAL58,1.06E+00,7.45E-01,1.59E+00,1.85E-02,1.16E-03,1.57E+02
S-LAL59,1.14E+00,8.05E-01,1.29E+00,4.93E-03,2.02E-02,9.35E+01
S-LAL61,1.11E+00,8.59E-01,1.27E+00,4.64E-03,1.93E-02,8.74E+01
S-LAM 2,1.77E+00,1.96E-01,1.19E+00,9.77E-03,4.13E-02,1.10E+02
S-LAM 3,1.64E+00,2.40E-01,1.22E+00,8.68E-03,3.51E-02,1.17E+02
S-LAM 7,1.71E+00,2.57E-01,1.64E+00,1.05E-02,5.03E-02,1.46E+02
S-LAM54,1.84E+00,1.75E-01,1.26E+00,9.44E-03,3.95E-02,8.65E+01
S-LAM55,1.85E+00,1.65E-01,1.27E+00,1.08E-02,5.14E-02,1.10E+02
S-LAM60,1.61E+00,3.66E-01,1.32E+00,7.75E-03,2.90E-02,9.31E+01
S-LAM61,1.74E+00,1.51E-01,1.12E+00,9.80E-03,4.33E-02,1.01E+02
S-LAM66,1.92E+00,2.20E-01,1.73E+00,1.15E-02,5.48E-02,1.20E+02
S-LAM73,1.86E+00,2.55E-01,1.23E+00,1.08E-02,4.87E-02,1.17E+02
S-LAH51,1.83E+00,2.83E-01,1.36E+00,9.35E-03,3.74E-02,1.01E+02
S-LAH52,1.85E+00,2.98E-01,1.39E+00,9.55E-03,3.94E-02,1.03E+02
S-LAH52Q,1.91E+00,2.40E-01,1.16E+00,1.04E-02,4.14E-02,9.66E+01
S-LAH53,1.92E+00,2.54E-01,1.39E+00,1.02E-02,4.33E-02,1.02E+02
S-LAH53V,1.97E+00,2.05E-01,1.23E+00,1.08E-02,4.64E-02,9.77E+01
S-LAH55V,1.97E+00,3.05E-01,1.39E+00,9.91E-03,3.83E-02,9.78E+01
S-LAH55VS,1.93E+00,3.49E-01,1.42E+00,9.61E-03,3.65E-02,1.03E+02
S-LAH58,1.79E+00,6.53E-01,1.80E+00,8.47E-03,3.13E-02,1.33E+02
S-LAH59,1.51E+00,7.02E-01,1.34E+00,7.05E-03,2.49E-02,1.00E+02
S-LAH60,1.95E+00,3.07E-01,1.57E+00,1.06E-02,4.57E-02,1.10E+02
S-LAH60V,2.05E+00,2.08E-01,1.31E+00,1.16E-02,5.26E-02,9.94E+01
S-LAH63,1.89E+00,2.69E-01,1.46E+00,1.02E-02,4.43E-02,1.05E+02
S-LAH63Q,1.97E+00,1.95E-01,1.25E+00,1.10E-02,4.97E-02,1.05E+02
S-LAH64,1.83E+00,2.92E-01,1.29E+00,9.05E-03,3.31E-02,8.94E+01
S-LAH65V,1.81E+00,3.61E-01,1.33E+00,8.75E-03,3.18E-02,9.13E+01
S-LAH65VS,1.76E+00,4.14E-01,1.33E+00,8.54E-03,3.02E-02,9.81E+01
S-LAH66,1.39E+00,6.80E-01,1.39E+00,6.08E-03,2.34E-02,9.58E+01
S-LAH71,1.98E+00,3.17E-01,2.44E+00,1.19E-02,5.27E-02,2.13E+02
S-LAH79,2.33E+00,5.08E-01,2.43E+00,1.33E-02,5.28E-02,1.61E+02
S-LAH88,2.13E+00,4.05E-01,1.68E+00,1.17E-02,5.09E-02,1.07E+02
S-LAH89,1.95E+00,3.78E-01,1.48E+00,9.77E-03,3.82E-02,1.12E+02
S-LAH92,2.10E+00,3.58E-01,1.63E+00,1.09E-02,4.43E-02,1.23E+02
S-LAH93,2.18E+00,3.26E-01,1.71E+00,1.16E-02,4.96E-02,1.29E+02
S-LAH95,2.16E+00,3.30E-01,1.72E+00,1.23E-02,5.56E-02,1.24E+02
S-LAH96,1.85E+00,1.89E-01,1.20E+00,9.41E-03,3.80E-02,1.01E+02
S-LAH97,1.03E+00,9.89E-01,1.26E+00,1.83E-02,3.71E-03,8.79E+01
S-LAH98,2.29E+00,3.86E-01,2.07E+00,1.22E-02,5.15E-02,1.46E+02
S-LAH99,2.39E+00,4.39E-01,2.38E+00,1.31E-02,5.53E-02,1.61E+02
S-FTM16,1.33E+00,1.42E-01,1.44E+00,1.02E-02,5.78E-02,1.51E+02
S-NBM51,1.37E+00,1.78E-01,1.31E+00,8.72E-03,4.06E-02,1.13E+02
S-NBH 5,1.48E+00,1.93E-01,1.51E+00,9.56E-03,4.60E-02,1.26E+02
S-NBH 8,1.61E+00,2.57E-01,1.98E+00,1.06E-02,4.87E-02,1.60E+02
S-NBH51,1.71E+00,2.56E-01,1.81E+00,1.08E-02,4.89E-02,1.36E+02
S-NBH52V,1.51E+00,2.12E-01,1.54E+00,9.87E-03,4.63E-02,1.27E+02
S-NBH53V,1.65E+00,2.67E-01,2.15E+00,1.12E-02,5.20E-02,1.67E+02
S-NBH55,1.83E+00,2.88E-01,2.15E+00,1.22E-02,5.74E-02,1.86E+02
S-NBH56,1.85E+00,4.31E-01,3.45E+00,1.33E-02,5.86E-02,2.39E+02
S-NBH57,1.92E+00,3.72E-01,2.55E+00,1.18E-02,5.32E-02,2.05E+02
S-NBH58,1.71E+00,3.63E-01,2.56E+00,1.17E-02,5.41E-02,1.89E+02
S-NPH 1,1.75E+00,3.64E-01,2.48E+00,1.35E-02,6.68E-02,1.71E+02
S-NPH 1W,1.75E+00,3.64E-01,2.48E+00,1.35E-02,6.68E-02,1.71E+02
S-NPH 2,2.04E+00,4.37E-01,2.97E+00,1.71E-02,7.49E-02,1.74E+02
S-NPH 3,2.10E+00,4.89E-01,2.94E+00,1.79E-02,7.77E-02,1.61E+02
S-NPH 4,1.94E+00,4.50E-01,2.72E+00,1.53E-02,6.97E-02,1.70E+02
S-NPH 5,1.89E+00,3.95E-01,2.20E+00,1.41E-02,6.63E-02,1.49E+02
S-NPH 7,1.68E+00,3.40E-01,2.25E+00,1.31E-02,6.45E-02,1.81E+02
S-NPH53,1.85E+00,3.96E-01,2.44E+00,1.35E-02,6.32E-02,1.71E+02
